"ProcessName","PercentageCPU"
"Code","21.77%"
"chrome","18.09%"
"powershell","12.26%"
"explorer","11.50%"
"dptf_helper","10.71%"
"msedge","6.84%"
"POWERPNT","3.85%"
"WavesSvc64","1.61%"
"SearchHost","1.58%"
"svchost","1.11%"
"cpptools-srv","1.10%"
"taskhostw","1.05%"
"ctfmon","0.99%"
"sihost","0.96%"
"RuntimeBroker","0.86%"
"cpptools","0.83%"
"ShellExperienceHost","0.82%"
"SystemSettings","0.72%"
"StartMenuExperienceHost","0.69%"
"TextInputHost","0.65%"
"PhoneExperienceHost","0.35%"
"Widgets","0.25%"
"SystemSettingsBroker","0.24%"
"backgroundTaskHost","0.22%"
"igfxEMN","0.21%"
"conhost","0.16%"
"WidgetService","0.16%"
"ai","0.13%"
"dllhost","0.09%"
"ApplicationFrameHost","0.09%"
"LocationNotificationWindows","0.04%"
"smartscreen","0.03%"
"SecurityHealthSystray","0.03%"
"RtkAudUService64","0.01%"
"unsecapp","0.01%"
"UserOOBEBroker","0.00%"
"FileCoAuth","0.00%"
"csrss","0.00%"
"jusched","0.00%"
"dwm","0.00%"
"Dell.TechHub.Instrumentation.UserProcess","0.00%"
"winlogon","0.00%"
"fontdrvhost","0.00%"
